item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
6240,一种自动送料的角钢冲孔设备,CN209077563U,2019.07.09,2.02E+12,2018.11.30,重庆天路电力设备有限公司,郑学群,402560重庆市铜梁区铜梁工业园区产业大道（变电站旁）,B21D28/34(2006.01)I;??B21D43/12(2006.01)I
6241,一种透明LED显示屏,CN209087301U,2019.07.09,2.02E+12,2018.11.26,深圳市德铭光科技有限公司,杨辉;??关开环,518000广东省深圳市龙岗区平湖街道平安大道富民工业区第44栋厂房1至2楼,G09F9/33(2006.01)I
6242,一种甲钴胺片避光生产线,CN209080377U,2019.07.09,2.02E+12,2018.12.03,江苏四环生物制药有限公司,沈振宇;,214000江苏省无锡市江阴市滨江开发区定山路10号,B65B65/00(2006.01)I;
6243,一种盾构隧道隧底回填预制结构,CN209083289U,2019.07.09,2.02E+12,2018.11.27,孙志超,孙志超;??周裕金,430070湖北省武汉市洪山区珞喻路碧水花园9栋,E21D11/08(2006.01)I;??E21D11/10(2006.01)I
6244,一种生态农业旅游指示牌,CN209087274U,2019.07.09,201822018348X,2018.12.04,中山市民众镇虹基农业有限公司,冼润基,528400广东省中山市民众镇新平四村1-2队上下三十亩字号,G09F7/18(2006.01)I
6245,一种电池极片生产用修边装置,CN209077947U,2019.07.09,2.02E+12,2018.12.04,深圳市誉嘉电池设备有限公司,谢秀花;??罗开和;??李桂荣,518110广东省深圳市龙华区观湖街道新田社区环观南路72-6号创客大厦503,B23D79/00(2006.01)I;??H01M4/04(2006.01)I
6246,一种锂电池用铜箔生产用的分切装置,CN209078796U,2019.07.09,2.02E+12,2018.12.04,江西铜博科技有限公司,石晨;,344000江西省抚州市抚州高新技术产业开发区高新六路687号,B26D1/03(2006.01)I;??B26D7/26(2006.01)I  
6247,一种便携式体检箱,CN209080535U,2019.07.09,2.02E+12,2018.12.03,梁静,梁静;??耿芳;??司利花,450000河南省郑州市经济技术开发区经南五路17号,B65D25/38(2006.01)I
6248,一种远程切断式燃气调压器,CN209084013U,2019.07.09,2.02E+12,2018.11.30,成都川力智能流体设备股份有限公司,万建华;,611530四川省成都市邛崃市临邛镇创业路7号,F16K1/00(2006.01)I;??F16K31/06(2006.01)I
6249,一种灯泡包装盒,CN209080512U,2019.07.09,2.02E+12,2018.12.04,保定来福汽车照明集团有限公司,吴建福;,071700河北省保定市容城县县城东四公里津保公路南侧,B65D25/10(2006.01)I;
6250,一种汽车燃油量测量装置,CN209079648U,2019.07.09,2.02E+12,2018.12.04,广东省珠海市质量计量监督检测所,陈媚;??陈健安;??梁灿茹,519000广东省珠海市香洲南屏科技工业园屏东六路泰北街1号,B60K15/03(2006.01)I
